"id","post","lang","age_group"
13464,pero no entiendo xq tanto beef a este hombre? q ha hecho?,sp,1
13471,no soy fan de este tio pero y el respeto?,sp,1
13489,Bro esos son sabadell,sp,1
13515,No me jodas que eso es Sabadell,sp,1
13525,no lo entiendo si no le gustan tus vídeos pues q no los vean pero q hagan eso seguro q se ven todos los videos,sp,1
13528,y estos chavales de q van? q paso al final,sp,1
13539,"xq le tiran cosas , eso habla mucho de como son 👀",sp,1
13546,Quien es este tio? Por que el hate?,sp,1
13553,me hace eso a mi el de la gorra y se come la lata,sp,1
13558,flipo con esta gente de verdad….,sp,1
13559,Literalll ya empieza esa epocaa,sp,1
13567,Pero tú eres más lindo q esos bulling,sp,1
13593,Ellos no tenían que hacerte eso solo eres una persona❤️❤️❤️,sp,1
13607,Me lo hacen y le meto la gorra por el culo al gilipolls este vaya mononeuronales hay por las calles,sp,1
13608,vale pero y el tío q ha tirado eso 😶,sp,1
13621,y esos que?😅,sp,1
13624,Veo estas cosas y estos comentarios de chavalines x no decir otra cosa y veo genial que vuelvan a poner la mili xq esas conductas vamos yo tb me considero joven pero tengo la educación antigua 😂,sp,1
13648,Porque te tiran eso ?,sp,1
13664,porque hay gente que opina que esta bien lanzar cosas? todo bien en casita ?,sp,1
13670,k hace tirándole eso io,sp,1
13692,pero esos tíos te conocen de algo,sp,1
13710,y esos que te an respondido,sp,1
13716,le hacen eso a un cubano y se tragan la lata 😭,sp,1
13725,y esa gente?😂,sp,1
13728,porque hay gente que opina que esta bien lanzar cosas? todo bien en casita ?,sp,1
13735,k hace tirándole eso io,sp,1
13736,solo con este video ganó más que ellos en un mes,sp,1
13771,sink les estas haciendo nada,sp,1
13795,Ya pero estas bien?,sp,1
13804,Yo a esa edad estaba con la Game Boy y mira ahora,sp,1
13839,sink les estas haciendo nada,sp,1
13860,Bro esa bandera de atrás 😡😡,sp,1
13883,Hermano esos q hacen?,sp,1
13967,jajajaja son del mismo combo con esos busos pequeños y corticos,sp,1
13973,y esos silvestres que?,sp,1
13978,no entiendo como dejas que te falten el respeto de esa manera,sp,1
13983,siempre son esos los que buscan pleito jajajajaja,sp,1
13986,Mayoría ya dice que en vídeos se los veía juntos. Además el reflejo del escaparate se ve como paran después de salir del vídeo. Si acaban de hacer eso no se irían 🙄. FALTA DE ATENCIÓN,sp,1
14055,Bro esa bandera de atrás 😡😡,sp,1
14076,pero que hace y este el que te a tirado la lata de que va,sp,1
14094,"Ns pero si te fijas en el cristal del final, los chicos estaban parados en fila hasta q empezo a grabar. Esta preparado verdad?",sp,1
14098,Por que hacen eso 🥺🥺,sp,1
14123,Pues yo creo que son amigos y han dicho de hacer eso para el vídeo y punto que la gente se cree todo,sp,1
14126,la vibra de no llevar capas con esta canción 🫶,sp,1
14128,Con la actitud del k a tirado eso es una persona k madura para la edad k tiene y bien as echo de pasar de ellos,sp,1
14130,solo con este video ganó más que ellos en un mes,sp,1
14131,Que onda con esos comentarios tan feos?,sp,1
14139,contexto de lo que hizo este chico y por qué tanto hate,sp,1
14164,Algún día de estos perdemos a Jordi 😔,sp,1
14177,que falta de respeto si no les gusta una persona no es forma de reaccionar eso demuestra la falta de valores y entorno vivido,sp,1
14247,Jordi ignoralos que tu comparado con esos eres un rey,sp,1
14249,"vamos a ver, vale que este con Karina y que todos la odieis pero no es motivo para tirarle cosas, y menos apoyar a la gente que lo hace, me parece un falta de respeto, estoy contigo Jordi 💕",sp,1
14289,Que coño con esa gente😅😅,sp,1
14309,que ha pasado estas bien,sp,1
14325,"pero ellos ni se ha visto???? , madre mia gente como esa da rabia",sp,1
14368,"lo malo es si estas flaco, yo prefiero el invierno por eso",sp,1
14423,y esos randoms🤣🤣🤣,sp,1
14439,sisisi pero esa puntería todo que ver?,sp,1
14444,Que le pasa a esos chicos,sp,1
14449,pero el de la gorra de que va qué hace ese tirándote eso quien se cree para tirarte cosas??,sp,1
14481,y esos q paso después les dijistes algo we si confirmen,sp,1
14492,seguramente esos les tiene envidia a jordi,sp,1
14500,qué malos por qué le tiran eso que será el que pasó después,sp,1
14519,a los niños esos no los han criado bien,sp,1
14550,obviamente las flexiones de la campeona son más hard pero eso no le quita el mérito a Roro,sp,1
14590,cheka eso puro cocinarle a Pablo 😼✨,sp,1
14602,"Un día a Pablo se le apetecía que la tierra esté lejos del sol, por eso empecé a empujarla.",sp,1
